MoveIt! version 65804
Experiment unfurl
Running on ML003
Starting at 2023-Jun-22 15:29:18.622698
<<<|
|>>>
0 is the random seed
5 seconds per run
-1 MB per run
15.4745 seconds spent to collect the data
0 enum types
4 planners
rrtconnect
0 common properties
20 properties for each run
time REAL
success BOOLEAN
correct BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
smoothness REAL
waypoints INT
200 runs
0.07935; 1; 1; 4.5810275376269924; ML003; 22317; 140669083514624; 1.221814; 0; 1.1424639999999999; 0; 44; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.114408; 1; 1; 4.5810275376269942; ML003; 22317; 140669075121920; 1.2664409999999999; 0; 1.1520330000000001; 0; 45; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.134836; 1; 1; 4.5810275376269916; ML003; 22317; 140669066729216; 1.293185; 0; 1.1583490000000001; 0; 46; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.0831444142684454e-16; 123; 
0.088824; 1; 1; 4.5810275376269924; ML003; 22317; 140669058336512; 1.2958730000000001; 0; 1.207049; 0; 47; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.100312; 1; 1; 4.5810275376269898; ML003; 22317; 140669083514624; 1.3249120000000001; 0; 1.2245999999999999; 0; 48; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.2209627617896359e-17; 123; 
0.099056; 1; 1; 4.5810275376269907; ML003; 22317; 140669075121920; 1.3682730000000001; 0; 1.269217; 0; 49; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 6.498866485610672e-17; 123; 
0.069386; 1; 1; 4.5810275376269916; ML003; 22317; 140669058336512; 1.369896; 0; 1.3005100000000001; 0; 51; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.059474; 1; 1; 4.5810275376269907; ML003; 22317; 140669083514624; 1.3895789999999999; 0; 1.3301050000000001; 0; 52; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.4441925523579272e-16; 123; 
0.05019; 1; 1; 4.5810275376269907; ML003; 22317; 140669058336512; 1.422919; 0; 1.3727290000000001; 0; 54; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.136143; 1; 1; 4.5810275376269907; ML003; 22317; 140669066729216; 1.434687; 0; 1.2985439999999999; 0; 50; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.4441925523579272e-16; 123; 
0.079464; 1; 1; 4.5810275376269924; ML003; 22317; 140669083514624; 1.4718789999999999; 0; 1.392415; 0; 55; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.2275636695042381e-16; 123; 
0.058248; 1; 1; 4.5810275376269898; ML003; 22317; 140669058336512; 1.4839309999999999; 0; 1.425683; 0; 56; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.131294; 1; 1; 4.5810275376269898; ML003; 22317; 140669075121920; 1.502405; 0; 1.371111; 0; 53; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.052803; 1; 1; 4.5810275376269916; ML003; 22317; 140669083514624; 1.5274270000000001; 0; 1.4746239999999999; 0; 58; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.049556; 1; 1; 4.5810275376269907; ML003; 22317; 140669058336512; 1.5363530000000001; 0; 1.4867969999999999; 0; 59; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.0831444142684454e-16; 123; 
0.043356; 1; 1; 4.5810275376269907; ML003; 22317; 140669083514624; 1.573539; 0; 1.5301830000000001; 0; 61; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.010934786650549e-16; 123; 
0.186925; 1; 1; 4.5810275376269924; ML003; 22317; 140669066729216; 1.6266849999999999; 0; 1.4397599999999999; 0; 57; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.010934786650549e-16; 123; 
0.055707; 1; 1; 4.5810275376269889; ML003; 22317; 140669083514624; 1.632018; 0; 1.576311; 0; 63; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.095225; 1; 1; 4.5810275376269907; ML003; 22317; 140669058336512; 1.6341829999999999; 0; 1.538958; 0; 62; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.127797; 1; 1; 4.5810275376269916; ML003; 22317; 140669075121920; 1.6352629999999999; 0; 1.507466; 0; 60; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.092145; 1; 1; 4.5810275376269916; ML003; 22317; 140669066729216; 1.7239450000000001; 0; 1.6317999999999999; 0; 64; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.010934786650549e-16; 123; 
0.094804; 1; 1; 4.5810275376269924; ML003; 22317; 140669058336512; 1.7318929999999999; 0; 1.637089; 0; 66; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.0831444142684454e-16; 123; 
0.108214; 1; 1; 4.5810275376269933; ML003; 22317; 140669083514624; 1.743187; 0; 1.634973; 0; 65; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.2209627617896359e-17; 123; 
0.165695; 1; 1; 4.5810275376269933; ML003; 22317; 140669075121920; 1.8039019999999999; 0; 1.638207; 0; 67; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.077215; 1; 1; 4.5810275376269907; ML003; 22317; 140669083514624; 1.8242290000000001; 0; 1.7470140000000001; 0; 70; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.0831444142684454e-16; 123; 
0.101333; 1; 1; 4.5810275376269924; ML003; 22317; 140669058336512; 1.8359510000000001; 0; 1.734618; 0; 69; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.116257; 1; 1; 4.5810275376269942; ML003; 22317; 140669066729216; 1.845351; 0; 1.7290939999999999; 0; 68; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.07512; 1; 1; 4.5810275376269916; ML003; 22317; 140669075121920; 1.884201; 0; 1.8090809999999999; 0; 71; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.2997732971221344e-16; 123; 
0.074747; 1; 1; 4.5810275376269924; ML003; 22317; 140669083514624; 1.901783; 0; 1.8270360000000001; 0; 72; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 6.498866485610672e-17; 123; 
0.076575; 1; 1; 4.5810275376269924; ML003; 22317; 140669058336512; 1.9158740000000001; 0; 1.839299; 0; 73; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.9430590379685997e-17; 123; 
0.063211; 1; 1; 4.5810275376269907; ML003; 22317; 140669075121920; 1.9501250000000001; 0; 1.886914; 0; 75; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.2275636695042381e-16; 123; 
0.131443; 1; 1; 4.5810275376269933; ML003; 22317; 140669066729216; 1.981943; 0; 1.8505; 0; 74; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.4441925523579272e-16; 123; 
0.088717; 1; 1; 4.5810275376269933; ML003; 22317; 140669058336512; 2.0096919999999998; 0; 1.9209750000000001; 0; 77; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 8.6651553141475635e-17; 123; 
0.065742; 1; 1; 4.5810275376269916; ML003; 22317; 140669075121920; 2.0185569999999999; 0; 1.952815; 0; 78; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 9.3872515903265274e-17; 123; 
0.134069; 1; 1; 4.5810275376269907; ML003; 22317; 140669083514624; 2.0386479999999998; 0; 1.904579; 0; 76; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.07801; 1; 1; 4.5810275376269898; ML003; 22317; 140669066729216; 2.0626660000000001; 0; 1.984656; 0; 79; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.094824; 1; 1; 4.5810275376269924; ML003; 22317; 140669058336512; 2.109728; 0; 2.014904; 0; 80; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 7.2209627617896359e-17; 123; 
0.093847; 1; 1; 4.5810275376269898; ML003; 22317; 140669075121920; 2.1169030000000002; 0; 2.023056; 0; 81; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
0.060012; 1; 1; 4.5810275376269916; ML003; 22317; 140669066729216; 2.1256750000000002; 0; 2.0656629999999998; 0; 83; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.010934786650549e-16; 123; 
0.123552; 1; 1; 4.5810275376269907; ML003; 22317; 140669083514624; 2.1671740000000002; 0; 2.043622; 0; 82; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.0831444142684454e-16; 123; 
0.053883; 1; 1; 4.5810275376269898; ML003; 22317; 140669075121920; 2.1759089999999999; 0; 2.122026; 0; 85; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 1.1553540418863419e-16; 123; 
